"","X","id","DistrictId","Z","A","D","Y"
"248",248,"327600",4,1,1,1,1500
"249",249,"286100",4,1,1,0,300
"251",251,"327600",4,1,1,1,1500
"252",252,"327600",4,1,1,1,5500
"253",253,"346600",4,0,0,0,2
"256",256,"314000",4,1,1,1,0
"257",257,"329700",4,1,0,1,8000
"258",258,"259100",4,1,1,1,2000
"259",259,"4403330",4,1,0,1,10000
"260",260,"328600",4,1,0,1,0
"261",261,"290700",4,1,1,1,1600
"262",262,"286800",4,0,1,0,4000
"263",263,"4403350",4,1,1,1,2100
"264",264,"310100",4,0,0,1,1500
"266",266,"337000",4,0,0,0,0
"267",267,"329300",4,0,0,0,3200
"268",268,"4403340",4,1,0,1,791
"269",269,"278600",4,1,1,1,5000
"270",270,"292100",4,1,1,1,900
"271",271,"329300",4,1,0,1,8000
"272",272,"4403330",4,1,0,1,4000
"273",273,"275600",4,1,0,1,1700
"274",274,"326200",4,0,0,0,1000
"275",275,"4403350",4,1,1,1,3200
"277",277,"326100",4,1,1,1,3000
"278",278,"4406120",4,0,0,0,2000
"279",279,"306600",4,1,0,1,0
"280",280,"326000",4,1,1,1,1200
"281",281,"284400",4,0,0,1,0
"282",282,"326000",4,1,1,1,1200
"283",283,"4403480",4,0,0,1,2400
"284",284,"318200",4,0,0,0,0
"285",285,"301700",4,0,1,0,5000
"286",286,"286800",4,1,1,1,3000
"287",287,"258000",4,0,0,0,0
"288",288,"286800",4,1,1,1,0
"289",289,"299000",4,0,0,1,500
"290",290,"259600",4,1,1,1,1200
"291",291,"311400",4,0,0,0,5000
"292",292,"290700",4,1,1,1,1000
"293",293,"4403330",4,1,0,1,9000
"294",294,"265500",4,1,0,1,2100
"295",295,"292400",4,0,0,0,400
"296",296,"283000",4,1,0,0,0
"297",297,"263700",4,1,1,0,0
"298",298,"259800",4,0,0,1,4800
"299",299,"259800",4,1,0,1,300
"300",300,"259800",4,1,0,1,35000
"301",301,"288700",4,0,0,0,0
"302",302,"327500",4,1,0,1,6500
"304",304,"315900",4,1,1,1,700
"305",305,"312200",4,0,0,0,0
"306",306,"292100",4,1,1,1,900
"307",307,"263700",4,0,1,0,0
"308",308,"292600",4,1,0,1,700
"309",309,"346300",4,0,0,0,3
"310",310,"292400",4,0,0,1,7000
"312",312,"311600",4,0,0,0,4000
"313",313,"292600",4,1,0,1,2500
"314",314,"314000",4,1,1,1,0
"315",315,"346300",4,0,0,0,3
"316",316,"263700",4,0,1,1,0
"317",317,"263700",4,1,1,1,0
"318",318,"313200",4,1,1,0,0
"319",319,"259700",4,1,1,1,0
"320",320,"4403470",4,0,0,0,3000
"322",322,"271600",4,0,1,0,0
"323",323,"327600",4,1,1,1,1000
"324",324,"292100",4,1,1,1,900
"327",327,"4403350",4,0,1,0,2300
"329",329,"290500",4,1,0,1,400
"330",330,"330200",4,0,1,1,1500
"331",331,"259100",4,1,1,1,1300
"332",332,"286500",4,1,1,1,22000
"333",333,"4403400",4,1,1,1,450
"334",334,"289400",4,1,1,0,500
"335",335,"329800",4,1,0,1,0
"336",336,"326200",4,0,0,0,0
"338",338,"284700",4,0,0,0,12000
"339",339,"4403360",4,0,1,0,3000
"340",340,"290300",4,0,0,1,0
"341",341,"346200",4,0,0,1,5000
"342",342,"286600",4,1,1,0,7000
"343",343,"315900",4,1,1,1,1000
"344",344,"258000",4,1,0,1,0
"345",345,"346100",4,1,1,1,300
"346",346,"286900",4,1,1,1,500
"347",347,"273700",4,0,0,1,300
"348",348,"312300",4,0,0,1,5500
"349",349,"265500",4,0,0,1,0
"350",350,"286800",4,1,1,1,3000
"351",351,"258900",4,0,0,0,0
"352",352,"259700",4,1,1,1,2000
"353",353,"346100",4,1,1,0,3000
